dayinyear,date,close,open,high,low,volume
1,4/1,"3186,63",3270,3272,"3144,02",4411449
2,5/1,"3218,51","3166,01","3223,38","3165,06",2655548
3,6/1,"3138,38","3146,48","3197,51","3131,16",4394815
4,7/1,"3162,16",3157,"3208,54",3155,3514545
5,8/1,"3182,7",3180,"3190,64","3142,2",3537744
6,11/1,"3114,21","3148,01","3156,38",3110,3669095
7,12/1,"3120,83",3120,"3142,14",3086,3514582
8,13/1,"3165,89","3128,44","3189,95","3122,08",3321244
9,14/1,"3127,47","3167,52",3178,"3120,59",3070919
10,15/1,"3104,25","3123,02","3142,55","3095,17",4243995
11,19/1,"3120,76",3107,3145,3096,3305142
12,20/1,"3263,38","3181,99","3279,8",3175,5309835
13,21/1,"3306,99",3293,"3348,55","3289,57",4945051
14,22/1,"3292,23","3304,31","3321,91","3283,16",2821914
15,25/1,3294,"3328,5","3363,89","3243,15",3749758
16,26/1,"3326,13","3296,36",3338,"3282,87",2955235
17,27/1,"3232,58","3341,49","3346,52","3207,08",4660158
18,28/1,"3237,62","3235,04","3301,68","3228,69",3149228
19,29/1,"3206,2",3230,"3236,99","3184,55",4293556
20,1/2,"3342,88","3242,36","3350,26","3235,03",4160212
21,2/2,3380,3380,"3427,74","3361,13",7098637
22,3/2,"3312,53","3425,01",3434,"3308,62",7088781
23,4/2,3331,3330,3347,"3277,75",3670661
24,5/2,"3352,15",3319,3377,"3302,71",3620808
25,8/2,"3322,94","3358,5",3365,3304,3257391
26,9/2,3305,"3312,49",3338,"3297,84",2203526
27,10/2,"3286,58",3314,"3317,95",3254,3151550
28,11/2,"3262,13",3292,3292,"3248,06",2301417
29,12/2,"3277,71",3250,"3280,25","3233,31",2335339
30,16/2,"3268,95","3254,05","3308,3","3253,59",2574721
31,17/2,"3308,64","3263,6","3320,91","3259,5",3302099
32,18/2,"3328,23","3282,42",3338,"3273,94",3033607
33,19/2,"3249,9","3328,23","3333,5","3245,75",4305184
34,22/2,"3180,74","3208,13","3232,32","3172,26",3515679
35,23/2,"3194,5","3127,03","3204,73","3093,6",4677222
36,24/2,"3159,53","3166,75","3171,23","3125,38",3011275
37,25/2,"3057,16","3136,74","3178,26","3047,76",4533801
38,26/2,"3092,93","3095,2","3122,44","3036,7",4275930
39,1/3,"3146,14","3127,89","3149,56","3097,99",2733963
40,2/3,"3094,53","3143,47","3163,52","3087,12",2595762
41,3/3,3005,"3081,18","3107,78",2995,3988725
42,4/3,"2977,57",3012,"3058,13","2945,43",5481578
43,5/3,"3000,46",3005,3009,2881,5388551
44,8/3,"2951,95",3015,"3064,59","2951,31",4185008
45,9/3,"3062,85","3017,99","3090,96","3005,15",4030032
46,10/3,"3057,64","3098,45","3116,46","3030,05",3012489
47,11/3,"3113,59","3104,01","3131,78","3082,93",2776391
48,12/3,"3089,49",3075,"3098,98","3045,5",2421888
49,15/3,"3081,68","3074,57","3082,24","3032,09",2918592
50,16/3,"3091,86","3104,97","3128,91","3075,86",2538764
51,17/3,"3135,73","3073,22","3173,05","3070,22",3118584
52,18/3,"3027,99",3101,"3116,63",3025,3657027
53,19/3,"3074,96","3029,23","3077,29","3016,63",4625354
54,22/3,"3110,87","3067,85","3126,58","3060,05",2902179
55,23/3,"3137,5",3127,3182,"3120,85",3817263
56,24/3,"3087,07","3151,04","3160,31","3085,15",2958981
57,25/3,"3046,26","3072,99","3109,78","3037,14",3563469
58,26/3,"3052,03","3044,06","3056,66",2996,3312924
59,29/3,"3075,73","3055,44","3091,25","3028,45",2745968
60,30/3,"3055,29","3070,01",3073,3034,2337603
61,31/3,"3094,08","3064,06","3119,33","3062,5",3093896
62,1/4,3161,"3117,94","3162,44","3115,55",2940318
63,5/4,"3226,73",3173,"3235,96","3161,24",3334882
64,6/4,"3223,82","3223,75","3247,31","3217,04",2537809
65,7/4,"3279,39","3233,8","3303,61","3223,65",3346227
66,8/4,"3299,3","3310,9","3324,5",3292,2812090
67,9/4,"3372,2","3304,7","3372,2","3288,9",4341473
68,12/4,"3379,39","3355,21","3395,04","3351,15",3281798
69,13/4,3400,"3400,85",3432,"3395,63",3315837
70,14/4,3333,"3404,04","3404,13",3326,3145204
71,15/4,"3379,09",3371,3397,3352,3233580
72,16/4,"3399,44",3380,"3406,8","3355,59",3186049
73,19/4,"3372,01","3390,33","3435,93","3360,16",2725405
74,20/4,"3334,69","3373,6","3382,99",3316,2623032
75,21/4,"3362,02",3316,"3362,86","3303,81",2211166
76,22/4,"3309,04","3371,68","3372,87","3301,45",2580590
77,23/4,"3340,88","3319,1",3375,"3308,5",3196652
78,26/4,3409,3348,"3428,45","3330,94",4880708
79,27/4,"3417,43","3443,47",3460,"3398,01",3827140
80,28/4,"3458,5","3434,8","3489,88",3425,4631884
81,29/4,"3471,31","3505,1","3514,45",3435,7682381
82,30/4,"3467,42","3525,12",3554,"3462,5",7009346
83,3/5,"3386,49","3484,73","3486,65","3372,7",5875530
84,4/5,"3311,87","3356,19","3367,98","3272,13",5439449
85,5/5,"3270,54","3338,86","3354,7","3264,36",3711308
86,6/5,"3306,37",3270,"3314,4","3247,2",4447696
87,7/5,"3291,61","3319,09","3330,89","3289,07",4710276
88,10/5,"3190,49","3282,32",3283,3190,5838603
89,11/5,"3223,91","3136,28",3238,"3127,37",4619781
90,12/5,"3151,94",3185,"3207,94","3133,1",4936410
91,13/5,"3161,47","3185,47","3203,84",3133,3356877
92,14/5,"3222,9","3185,56","3228,86",3183,3325022
93,17/5,"3270,39","3245,93","3292,75","3234,59",3685599
94,18/5,"3232,28","3292,58",3312,"3230,37",2828391
95,19/5,"3231,8",3195,"3234,75",3184,2679708
96,20/5,"3247,68","3244,4","3259,68","3236,18",2633192
97,21/5,"3203,08",3250,"3256,69","3197,01",4104882
98,24/5,"3244,99","3215,5","3257,95","3210,5",2422813
99,25/5,"3259,05","3266,67","3279,82","3213,76",3261109
100,26/5,"3265,16","3274,59","3295,73","3258,51",2383986
101,27/5,"3230,11",3256,"3260,36","3230,04",2561157
102,28/5,"3223,07",3242,"3247,99","3219,7",2331509
103,1/6,"3218,65","3243,5","3250,98","3209,06",2430045
104,2/6,"3233,99","3223,1",3235,3208,2014524
105,3/6,"3187,01","3204,23","3214,44","3184,03",2398293
106,4/6,"3206,22",3212,3221,"3198,81",2249749
107,7/6,"3198,01","3197,33",3208,"3172,2",2215756
108,8/6,"3264,11","3222,61","3279,53","3218,01",3416730
109,9/6,"3281,15","3272,87","3297,58","3270,7",2455530
110,10/6,"3349,65","3282,01",3351,"3281,15",3476480
111,11/6,"3346,83","3349,65","3366,58","3333,45",2817352
112,14/6,"3383,87","3346,83",3385,"3335,5",2569655
113,15/6,"3383,13",3384,"3396,99","3363,11",2426200
114,16/6,"3415,25",3392,"3426,35","3360,53",4202782
115,17/6,"3489,24","3403,18","3497,2",3401,5136531
116,18/6,"3486,9","3479,99",3507,"3473,71",5247737
117,21/6,"3453,96","3476,42",3482,3434,3277130
118,22/6,"3505,44","3458,06","3523,78","3456,09",3345082
119,23/6,"3503,82",3505,3521,"3483,2",2813341
120,24/6,"3449,08","3507,64","3524,86","3430,85",3831999
121,25/6,"3401,46",3464,"3464,82","3394,18",3940997
122,28/6,"3443,89",3416,3448,"3413,51",2242793
123,29/6,"3448,14","3438,82","3456,03","3423,03",2098439
124,30/6,"3440,16","3441,06","3471,6",3435,2403992
125,1/7,"3432,97","3434,61",3457,"3409,42",2037053
126,2/7,"3510,98","3451,64","3511,72","3436,92",3176697
127,6/7,"3675,74","3530,11","3685,48",3529,6744768
128,7/7,"3696,58","3717,38","3734,2","3678,91",5328062
129,8/7,"3731,41","3643,56","3759,99","3621,12",5180623
130,9/7,"3719,34","3722,52",3748,"3693,4",3748237
131,12/7,"3718,55",3744,"3757,29","3696,79",2571635
132,13/7,"3677,36","3702,1","3773,08","3671,32",3845917
133,14/7,"3681,68","3708,85","3717,66","3660,83",3296568
134,15/7,"3631,2","3694,2","3695,4","3620,92",3185292
135,16/7,"3573,63","3633,31","3646,06","3570,46",4043706
136,19/7,"3549,59","3532,58","3550,21","3499,16",3784595
137,20/7,"3573,19","3567,32",3592,3518,3255680
138,21/7,"3585,2","3576,38","3586,45","3543,64",2318989
139,22/7,"3638,03","3587,23","3640,02","3582,27",3265352
140,23/7,"3656,64",3640,"3666,11","3622,04",2436292
141,26/7,"3699,82","3673,17","3712,08","3647,25",2900068
142,27/7,"3626,39","3698,5","3698,5","3586,15",4131890
143,28/7,"3630,32","3633,78","3658,42",3601,2999378
144,29/7,"3599,92","3627,75","3637,95","3580,01",5519952
145,30/7,"3327,59","3347,95","3368,14","3306,98",9965593
146,2/8,"3331,48","3353,1","3358,92",3317,3353915
147,3/8,"3366,24","3340,72",3391,"3299,77",4157343
148,4/8,"3354,72","3379,35","3388,88","3345,56",2183945
149,5/8,"3375,99","3356,22",3389,"3340,92",2433503
150,6/8,"3344,94",3375,3375,"3329,04",2637644
151,9/8,"3341,87","3343,61","3354,88","3328,52",2148220
152,10/8,"3320,68","3345,01",3358,3315,2412551
153,11/8,"3292,11","3331,45","3337,7","3277,79",2947249
154,12/8,"3303,5",3290,"3314,51","3269,67",2323823
155,13/8,"3293,97","3305,67","3306,07",3283,2056699
156,16/8,"3298,99",3283,3300,"3211,13",3328494
157,17/8,"3241,96","3277,5","3280,49","3225,68",3387922
158,18/8,"3201,22","3241,99","3254,1",3200,2804311
159,19/8,"3187,75","3194,02",3233,"3182,46",3782862
160,20/8,"3199,95","3203,87","3207,81","3175,76",3358428
161,23/8,"3265,87","3211,9","3280,9","3210,01",3268131
162,24/8,"3305,78",3280,"3315,49","3274,58",2551841
163,25/8,"3299,18","3309,87",3321,"3286,15",1680306
164,26/8,3316,3299,3332,3296,2098761
165,27/8,"3349,63","3333,23","3352,32","3313,75",2402369
166,30/8,"3421,57","3357,43",3445,"3355,22",3192244
167,31/8,"3470,79","3424,8","3472,58","3395,59",4356413
168,1/9,3479,"3496,4",3527,"3475,24",3629911
169,2/9,"3463,12","3494,76","3511,96",3455,2925594
170,3/9,"3478,05",3452,"3482,67","3436,44",2578324
171,7/9,"3509,29",3478,"3528,09","3476,94",2741184
172,8/9,"3525,5","3511,65","3545,63","3495,67",3053364
173,9/9,"3484,16","3526,02","3549,99","3480,37",2719241
174,10/9,"3469,15","3501,83","3508,45","3462,91",2397269
175,13/9,"3457,17","3482,8","3497,96",3438,2569022
176,14/9,3450,"3475,55","3486,81","3437,71",1936897
177,15/9,"3475,79","3442,52","3485,42","3402,01",2957537
178,16/9,"3488,24","3459,96","3492,55","3446,14",2583598
179,17/9,"3462,52","3488,42","3497,41","3452,13",4616556
180,20/9,"3355,73",3396,3419,"3305,01",4669130
181,21/9,"3343,63",3375,"3379,7","3332,39",2780878
182,22/9,"3380,05",3351,3389,"3341,05",2411403
183,23/9,3416,"3380,05","3428,96","3380,05",2379414
184,24/9,"3425,52","3402,01","3429,26","3393,4",2116241
185,27/9,"3405,8","3371,5","3415,57","3339,61",3634450
186,28/9,"3315,96","3357,71","3369,19","3290,1",4430819
187,29/9,"3301,12","3322,11","3351,3","3297,87",2562268
188,30/9,"3285,04",3316,"3327,85","3273,99",2847033
189,1/10,"3283,26","3289,01","3309,17","3255,94",2835617
190,4/10,"3189,78","3279,39","3279,99","3176,25",4523057
191,5/10,3221,"3204,5","3260,73","3202,46",3269208
192,6/10,"3262,01","3213,53","3264,34","3198,62",2532977
193,7/10,"3302,43","3291,54","3325,75","3283,06",2409075
194,8/10,"3288,62",3317,"3321,43","3288,2",1998217
195,11/10,"3246,3",3275,"3292,59","3238,1",2034203
196,12/10,"3247,33",3257,"3267,53","3236,28",1819571
197,13/10,"3284,28","3269,71","3288,38","3261,09",2425086
198,14/10,"3299,86","3302,45","3312,6","3290,78",2112020
199,15/10,"3409,02","3311,42","3410,42",3304,5179941
200,18/10,"3446,74","3388,36","3449,17","3385,1",3174115
201,19/10,"3444,15","3434,29","3454,69",3422,2386079
202,20/10,"3415,06","3452,66","3462,86","3400,37",2139777
203,21/10,"3435,01","3414,25","3440,28",3403,1881385
204,22/10,"3335,55",3421,"3429,84","3331,3",3139053
205,25/10,"3320,37",3335,"3347,8","3297,7",2225956
206,26/10,"3376,07","3349,51","3416,12","3343,98",2698342
207,27/10,"3392,49",3388,3437,"3371,45",2702224
208,28/10,"3446,57","3402,1",3479,3386,5708733
209,29/10,"3372,43","3300,02","3374,82","3273,32",6486077
210,1/11,"3318,11","3361,8","3375,86","3292,02",3608879
211,2/11,"3312,75","3315,01","3331,12","3283,55",2627590
212,3/11,3384,3309,"3394,92","3297,52",3397189
213,4/11,3477,3370,"3498,63",3365,5353020
214,5/11,"3518,99",3477,"3566,25","3476,98",4996951
215,8/11,"3488,98","3523,24",3579,"3487,86",3073992
216,9/11,"3576,23","3515,25","3593,77","3501,43",4294922
217,10/11,"3482,05","3563,87","3605,45","3463,09",4027422
218,11/11,"3472,5",3513,"3543,24","3467,47",2264406
219,12/11,"3525,15",3485,"3540,73","3447,05",2689434
220,15/11,"3545,68",3537,"3593,88","3525,81",2929719
221,16/11,"3540,7",3539,"3576,5","3525,15",2217071
222,17/11,3549,"3564,72","3587,25","3545,35",2560270
223,18/11,"3696,06","3566,35","3704,2",3561,5703538
224,19/11,"3676,57","3712,69","3762,15","3675,72",4946203
225,22/11,"3572,57","3676,38","3713,46","3567,5",4847850
226,23/11,"3580,04","3585,04","3621,05","3527,71",3692246
227,24/11,"3580,41","3562,67","3613,64","3536,85",2328018
228,26/11,"3504,56","3602,1","3633,5","3504,15",2991297
229,29/11,"3561,57","3547,64",3596,"3531,5",3265557
230,30/11,"3507,07","3563,5","3585,77","3492,01",4001107
231,1/12,"3443,72",3545,"3559,88","3441,6",3756995
232,2/12,"3437,36",3460,"3492,7","3423,75",3236288
233,3/12,"3389,79",3455,"3469,87","3338,6",4035550
234,6/12,"3427,37",3393,"3473,91","3338,69",3443000
235,7/12,"3523,29",3492,"3549,99","3466,69",3320536
236,8/12,"3523,16","3523,01","3543,6","3495,01",2262683
237,9/12,"3483,42",3515,"3539,39","3482,79",2303091
238,10/12,"3444,24","3508,34","3518,54",3410,3034488
239,13/12,"3391,35",3440,3442,"3382,6",3108450
240,14/12,"3381,83",3351,"3389,98","3328,8",2798764
241,15/12,"3466,3","3371,96",3472,"3303,9",3789713
242,16/12,"3377,42","3467,37","3483,32","3363,21",3043842
243,17/12,"3400,35","3354,21","3417,97","3312,27",4287758
244,20/12,"3341,58",3337,"3357,49",3312,2868633
245,21/12,"3408,34","3357,01","3414,33","3312,95",2797791
246,22/12,"3420,74","3385,4",3441,"3370,01",2751773
247,23/12,"3421,37","3408,56","3439,5",3403,1839412
248,27/12,"3393,39","3420,74","3458,86","3384,31",2942341
249,28/12,"3413,22","3403,65","3443,52","3382,71",2735593
250,29/12,"3384,02","3416,8","3424,24","3372,01",1787702
251,30/12,"3372,89",3394,"3417,76","3370,48",1879155
252,31/12,"3334,34","3379,12",3387,"3331,17",2386287
